股票代码,中文名称,每股收益(元),每股经营现金流(元),每股公积金(元),每股未分配利润(元),流通股本(亿股),流通市值(亿元),_quarter,stock_id,_stock_name,_selected_time
002136.XSHE,安纳达,0.06,0.23,1.63,0.55,2.14,17.21,2019-10-10,002136.XSHE,安纳达,2024-01-25
002913.XSHE,奥士康,0.73,0.88,10.08,4.89,0.36,18.59,2019-10-10,002913.XSHE,奥士康,2024-01-25
000400.XSHE,许继电气,0.09,0.08,0.82,5.57,10.08,85.29,2019-10-12,000400.XSHE,许继电气,2024-01-25
002261.XSHE,拓维信息,0.03,-0.02,1.75,-0.5,8.79,49.06,2019-10-12,002261.XSHE,拓维信息,2024-01-25
002408.XSHE,齐翔腾达,0.1,0.19,1.24,1.84,17.39,119.83,2019-10-12,002408.XSHE,齐翔腾达,2024-01-25
002714.XSHE,牧原股份,0.71,1.53,3.63,2.6,11.67,822.73,2019-10-12,002714.XSHE,牧原股份,2024-01-25
300359.XSHE,全通教育,0.01,0.04,1.6,-0.54,5.0,27.0,2019-10-12,300359.XSHE,全通教育,2024-01-25
600185.XSHG,格力地产,0.05,0.22,0.54,2.25,20.6,110.63,2019-10-15,600185.XSHG,格力地产,2024-01-25
603199.XSHG,九华旅游,0.24,0.52,3.01,6.05,1.11,27.37,2019-10-15,603199.XSHG,九华旅游,2024-01-25
002272.XSHE,川润股份,-0.01,-0.04,1.56,0.39,3.25,15.32,2019-10-15,002272.XSHE,川润股份,2024-01-25
002358.XSHE,ST森源,0.01,0.15,2.57,1.58,9.1,68.01,2019-10-15,002358.XSHE,ST森源,2024-01-25
002456.XSHE,欧菲光,0.06,0.66,1.17,1.04,26.68,317.5,2019-10-15,002456.XSHE,欧菲光,2024-01-25
300043.XSHE,星辉娱乐,0.17,0.34,0.07,1.32,9.15,42.54,2019-10-15,300043.XSHE,星辉娱乐,2024-01-25
300114.XSHE,中航电测,0.1,0.09,0.12,1.26,5.91,64.63,2019-10-15,300114.XSHE,中航电测,2024-01-25
300190.XSHE,维尔利,0.09,0.0,2.72,1.06,7.29,52.21,2019-10-15,300190.XSHE,维尔利,2024-01-25
300224.XSHE,正海磁材,0.04,0.12,1.51,0.68,7.36,52.85,2019-10-15,300224.XSHE,正海磁材,2024-01-25
300484.XSHE,蓝海华腾,-0.43,0.09,0.4,1.39,1.39,15.09,2019-10-15,300484.XSHE,蓝海华腾,2024-01-25
300487.XSHE,蓝晓科技,0.43,-0.09,1.7,3.01,1.1,38.42,2019-10-15,300487.XSHE,蓝晓科技,2024-01-25
300522.XSHE,世名科技,0.22,0.18,1.92,2.33,0.77,12.06,2019-10-15,300522.XSHE,世名科技,2024-01-25
300568.XSHE,星源材质,0.1,-0.22,6.68,2.53,1.29,35.53,2019-10-15,300568.XSHE,星源材质,2024-01-25
300752.XSHE,隆利科技,0.07,-0.1,3.2,2.38,0.29,8.79,2019-10-15,300752.XSHE,隆利科技,2024-01-25
600330.XSHG,天通股份,0.03,-0.02,2.47,0.55,9.97,66.57,2019-10-16,600330.XSHG,天通股份,2024-01-25
600481.XSHG,双良节能,0.04,0.05,0.03,0.11,16.27,53.19,2019-10-16,600481.XSHG,双良节能,2024-01-25
600519.XSHG,贵州茅台,8.36,2.57,1.09,83.93,12.56,14446.27,2019-10-16,600519.XSHG,贵州茅台,2024-01-25
600722.XSHG,金牛化工,0.01,0.04,2.42,-2.09,6.8,36.19,2019-10-16,600722.XSHG,金牛化工,2024-01-25
603798.XSHG,康普顿,0.07,-0.17,1.31,2.07,2.0,24.24,2019-10-16,603798.XSHG,康普顿,2024-01-25
000619.XSHE,海螺新材,0.05,0.29,1.22,3.89,3.6,19.22,2019-10-16,000619.XSHE,海螺新材,2024-01-25
000779.XSHE,甘咨询,0.15,0.3,2.87,1.02,1.86,21.57,2019-10-16,000779.XSHE,甘咨询,2024-01-25
002547.XSHE,春兴精工,0.01,0.3,1.05,0.12,7.63,66.75,2019-10-16,002547.XSHE,春兴精工,2024-01-25
002760.XSHE,凤形股份,0.14,0.05,2.69,2.21,0.73,12.58,2019-10-16,002760.XSHE,凤形股份,2024-01-25
300348.XSHE,长亮科技,0.03,-0.06,1.33,0.67,3.45,60.91,2019-10-16,300348.XSHE,长亮科技,2024-01-25
600456.XSHG,宝钛股份,0.14,0.03,5.51,1.61,4.3,115.66,2019-10-17,600456.XSHG,宝钛股份,2024-01-25
002455.XSHE,百川股份,0.04,0.12,0.81,0.8,3.94,24.58,2019-10-17,002455.XSHE,百川股份,2024-01-25
002462.XSHE,嘉事堂,0.29,0.92,4.39,5.57,2.51,38.26,2019-10-17,002462.XSHE,嘉事堂,2024-01-25
002846.XSHE,英联股份,0.11,0.28,1.11,1.13,0.53,6.55,2019-10-17,002846.XSHE,英联股份,2024-01-25
002876.XSHE,三利谱,0.22,-0.4,3.29,3.89,0.71,30.68,2019-10-17,002876.XSHE,三利谱,2024-01-25
600080.XSHG,金花股份,0.04,0.18,2.18,1.33,3.05,18.9,2019-10-18,600080.XSHG,金花股份,2024-01-25
600728.XSHG,佳都科技,0.23,-0.0,1.0,0.77,16.37,166.65,2019-10-18,600728.XSHG,佳都科技,2024-01-25
600805.XSHG,悦达投资,-0.13,-0.06,0.46,5.08,8.5,44.13,2019-10-18,600805.XSHG,悦达投资,2024-01-25
600812.XSHG,华北制药,0.01,0.1,2.14,0.08,16.31,116.28,2019-10-18,600812.XSHG,华北制药,2024-01-25
600876.XSHG,洛阳玻璃,0.06,0.09,3.52,-2.31,2.8,28.29,2019-10-18,600876.XSHG,洛阳玻璃,2024-01-25
601366.XSHG,利群股份,0.05,0.42,2.05,1.9,4.75,26.89,2019-10-18,601366.XSHG,利群股份,2024-01-25
601636.XSHG,旗滨集团,0.15,0.18,0.72,1.1,26.57,95.64,2019-10-18,601636.XSHG,旗滨集团,2024-01-25
601998.XSHG,中信银行,0.25,0.66,1.21,4.25,319.05,1799.45,2019-10-18,601998.XSHG,中信银行,2024-01-25
603008.XSHG,喜临门,0.34,0.43,3.58,1.82,3.2,39.75,2019-10-18,603008.XSHG,喜临门,2024-01-25
603026.XSHG,胜华新材,0.39,-0.14,2.06,4.84,2.03,72.6,2019-10-18,603026.XSHG,胜华新材,2024-01-25
603377.XSHG,东方时尚,0.15,0.2,0.96,0.9,5.88,129.01,2019-10-18,603377.XSHG,东方时尚,2024-01-25
603588.XSHG,高能环境,0.16,0.33,1.04,2.23,6.68,63.56,2019-10-18,603588.XSHG,高能环境,2024-01-25
603637.XSHG,镇海股份,0.12,0.68,1.49,1.36,0.44,7.04,2019-10-18,603637.XSHG,镇海股份,2024-01-25
603979.XSHG,金诚信,0.12,-0.01,2.73,3.19,5.83,48.19,2019-10-18,603979.XSHG,金诚信,2024-01-25
000026.XSHE,飞亚达,0.12,0.33,2.44,2.13,3.57,27.54,2019-10-18,000026.XSHE,飞亚达,2024-01-25
000404.XSHE,长虹华意,0.02,0.67,2.27,1.31,6.95,26.88,2019-10-18,000404.XSHE,长虹华意,2024-01-25
000514.XSHE,渝开发,-0.01,0.18,1.41,1.0,8.44,33.58,2019-10-18,000514.XSHE,渝开发,2024-01-25
000521.XSHE,长虹美菱,0.03,-0.16,2.57,0.88,8.02,25.99,2019-10-18,000521.XSHE,长虹美菱,2024-01-25
000703.XSHE,恒逸石化,0.33,0.45,3.46,3.07,22.83,296.97,2019-10-18,000703.XSHE,恒逸石化,2024-01-25
000739.XSHE,普洛药业,0.13,0.47,0.37,1.63,11.47,135.67,2019-10-18,000739.XSHE,普洛药业,2024-01-25
000799.XSHE,酒鬼酒,0.09,0.17,3.57,1.85,3.25,128.51,2019-10-18,000799.XSHE,酒鬼酒,2024-01-25
000819.XSHE,岳阳兴长,0.08,0.2,0.25,0.98,2.85,23.65,2019-10-18,000819.XSHE,岳阳兴长,2024-01-25
000851.XSHE,高鸿股份,0.01,0.04,2.17,0.6,8.57,43.87,2019-10-18,000851.XSHE,高鸿股份,2024-01-25
002124.XSHE,天邦食品,0.33,-0.02,0.85,0.17,9.41,108.41,2019-10-18,002124.XSHE,天邦食品,2024-01-25
002127.XSHE,南极电商,0.09,0.06,0.6,0.97,18.96,195.5,2019-10-18,002127.XSHE,南极电商,2024-01-25
002479.XSHE,富春环保,0.11,0.2,1.9,1.29,8.87,64.87,2019-10-18,002479.XSHE,富春环保,2024-01-25
002521.XSHE,齐峰新材,0.1,0.14,4.02,1.67,4.25,23.29,2019-10-18,002521.XSHE,齐峰新材,2024-01-25
002553.XSHE,南方精工,0.04,0.07,0.16,0.67,2.34,13.5,2019-10-18,002553.XSHE,南方精工,2024-01-25
002557.XSHE,洽洽食品,0.36,0.83,3.09,2.23,5.07,129.23,2019-10-18,002557.XSHE,洽洽食品,2024-01-25
002591.XSHE,恒大高新,0.08,-0.0,2.82,0.42,1.87,14.42,2019-10-18,002591.XSHE,恒大高新,2024-01-25
002697.XSHE,红旗连锁,0.12,0.04,0.03,1.01,10.78,80.33,2019-10-18,002697.XSHE,红旗连锁,2024-01-25
300234.XSHE,开尔新材,0.08,-0.1,1.43,0.93,1.72,17.63,2019-10-18,300234.XSHE,开尔新材,2024-01-25
300550.XSHE,和仁科技,0.11,0.11,2.4,2.02,0.42,12.25,2019-10-18,300550.XSHE,和仁科技,2024-01-25
300634.XSHE,彩讯股份,0.08,0.04,1.17,0.99,2.01,38.17,2019-10-18,300634.XSHE,彩讯股份,2024-01-25
300686.XSHE,智动力,0.1,0.43,0.93,1.61,0.88,16.91,2019-10-18,300686.XSHE,智动力,2024-01-25
300692.XSHE,中环环保,0.19,-0.7,2.26,1.73,0.97,12.1,2019-10-18,300692.XSHE,中环环保,2024-01-25
300748.XSHE,金力永磁,0.12,-0.03,0.92,0.79,2.55,95.95,2019-10-18,300748.XSHE,金力永磁,2024-01-25
600201.XSHG,生物股份,0.07,0.08,0.78,2.19,11.26,212.52,2019-10-19,600201.XSHG,生物股份,2024-01-25
600228.XSHG,返利科技,0.01,0.02,1.4,-2.29,2.41,18.2,2019-10-19,600228.XSHG,返利科技,2024-01-25
600319.XSHG,亚星化学,-0.0,0.09,2.71,-3.69,3.16,15.18,2019-10-19,600319.XSHG,亚星化学,2024-01-25
600340.XSHG,华夏幸福,0.42,-6.35,0.62,11.38,29.74,801.97,2019-10-19,600340.XSHG,华夏幸福,2024-01-25
600423.XSHG,柳化股份,-0.3,-0.21,2.36,-1.33,7.99,27.32,2019-10-19,600423.XSHG,柳化股份,2024-01-25
600549.XSHG,厦门钨业,0.02,0.77,2.23,1.56,14.06,188.55,2019-10-19,600549.XSHG,厦门钨业,2024-01-25
600729.XSHG,重庆百货,0.56,1.04,0.99,12.57,4.06,116.52,2019-10-19,600729.XSHG,重庆百货,2024-01-25
600785.XSHG,新华百货,0.02,0.18,1.38,6.92,2.26,33.78,2019-10-19,600785.XSHG,新华百货,2024-01-25
600829.XSHG,人民同泰,0.12,-0.01,,1.97,5.8,41.23,2019-10-19,600829.XSHG,人民同泰,2024-01-25
600850.XSHG,电科数字,0.19,0.28,0.15,4.54,4.26,106.92,2019-10-19,600850.XSHG,电科数字,2024-01-25
601108.XSHG,财通证券,0.07,-0.07,2.3,1.36,24.07,239.71,2019-10-19,601108.XSHG,财通证券,2024-01-25
601168.XSHG,西部矿业,0.09,-0.4,2.24,0.54,23.83,132.02,2019-10-19,601168.XSHG,西部矿业,2024-01-25
603009.XSHG,北特科技,0.0,0.06,2.85,0.9,3.28,20.17,2019-10-19,603009.XSHG,北特科技,2024-01-25
603333.XSHG,尚纬股份,0.06,0.0,1.22,0.64,5.1,50.37,2019-10-19,603333.XSHG,尚纬股份,2024-01-25
000403.XSHE,派林生物,0.18,0.23,0.43,1.16,2.71,89.05,2019-10-19,000403.XSHE,派林生物,2024-01-25
000505.XSHE,京粮控股,0.05,0.33,2.33,-0.07,4.06,22.09,2019-10-19,000505.XSHE,京粮控股,2024-01-25
000610.XSHE,西安旅游,0.0,0.01,1.67,0.77,2.35,23.22,2019-10-19,000610.XSHE,西安旅游,2024-01-25
000613.XSHE,东海A退,-0.0,-0.0,0.15,-0.94,2.66,12.84,2019-10-19,000613.XSHE,东海A退,2024-01-25
000721.XSHE,西安饮食,-0.01,-0.01,0.11,0.07,4.36,17.48,2019-10-19,000721.XSHE,西安饮食,2024-01-25
000825.XSHE,太钢不锈,0.12,-0.16,1.19,2.86,56.96,218.73,2019-10-19,000825.XSHE,太钢不锈,2024-01-25
000990.XSHE,诚志股份,0.14,0.41,10.3,2.05,3.88,56.8,2019-10-19,000990.XSHE,诚志股份,2024-01-25
002017.XSHE,东信和平,0.02,0.09,1.14,0.78,4.45,67.72,2019-10-19,002017.XSHE,东信和平,2024-01-25
002073.XSHE,软控股份,0.01,0.03,2.16,1.13,8.19,47.01,2019-10-19,002073.XSHE,软控股份,2024-01-25
002117.XSHE,东港股份,0.12,0.13,0.46,0.92,5.45,61.48,2019-10-19,002117.XSHE,东港股份,2024-01-25
002189.XSHE,中光学,0.09,-0.03,2.48,1.48,1.97,40.99,2019-10-19,002189.XSHE,中光学,2024-01-25
002246.XSHE,北化股份,0.06,0.29,1.81,1.59,4.5,34.82,2019-10-19,002246.XSHE,北化股份,2024-01-25
002254.XSHE,泰和新材,0.09,0.09,0.37,1.81,6.11,62.85,2019-10-19,002254.XSHE,泰和新材,2024-01-25
002299.XSHE,圣农发展,0.85,1.15,3.37,2.74,11.11,273.95,2019-10-19,002299.XSHE,圣农发展,2024-01-25
002415.XSHE,海康威视,0.41,0.06,0.45,2.65,80.74,2607.9,2019-10-19,002415.XSHE,海康威视,2024-01-25
002438.XSHE,江苏神通,0.08,0.09,1.68,1.19,4.02,29.88,2019-10-19,002438.XSHE,江苏神通,2024-01-25
002574.XSHE,明牌珠宝,0.03,-0.48,3.13,1.83,5.28,28.41,2019-10-19,002574.XSHE,明牌珠宝,2024-01-25
002686.XSHE,亿利达,0.01,0.35,1.16,1.22,3.41,23.68,2019-10-19,002686.XSHE,亿利达,2024-01-25
002832.XSHE,比音勒芬,0.45,0.23,1.44,3.33,1.34,35.05,2019-10-19,002832.XSHE,比音勒芬,2024-01-25
300079.XSHE,数码视讯,0.0,0.04,0.59,0.99,12.38,62.25,2019-10-19,300079.XSHE,数码视讯,2024-01-25
300179.XSHE,四方达,0.07,0.09,0.31,0.52,3.35,16.25,2019-10-19,300179.XSHE,四方达,2024-01-25
300200.XSHE,高盟新材,0.19,0.31,4.03,0.85,2.02,18.58,2019-10-19,300200.XSHE,高盟新材,2024-01-25
300231.XSHE,银信科技,0.1,-0.26,1.41,0.7,3.59,26.22,2019-10-19,300231.XSHE,银信科技,2024-01-25
300264.XSHE,佳创视讯,-0.03,-0.05,0.23,-0.04,3.22,18.83,2019-10-19,300264.XSHE,佳创视讯,2024-01-25
300273.XSHE,*ST和佳,0.03,0.07,1.25,0.89,5.79,28.41,2019-10-19,300273.XSHE,*ST和佳,2024-01-25
300276.XSHE,三丰智能,0.06,0.19,2.99,0.61,3.63,34.2,2019-10-19,300276.XSHE,三丰智能,2024-01-25
600422.XSHG,昆药集团,0.16,0.15,1.59,2.53,7.59,80.75,2019-10-21,600422.XSHG,昆药集团,2024-01-25
603025.XSHG,大豪科技,0.05,0.12,0.2,0.49,9.16,79.5,2019-10-21,603025.XSHG,大豪科技,2024-01-25
603078.XSHG,江化微,0.16,0.24,2.98,2.96,0.62,19.63,2019-10-21,603078.XSHG,江化微,2024-01-25
603889.XSHG,新澳股份,0.02,0.24,1.87,1.58,5.12,29.48,2019-10-21,603889.XSHG,新澳股份,2024-01-25
000018.XSHE,神城A退,-0.07,-0.02,-0.76,-1.06,9.96,9.46,2019-10-21,000018.XSHE,神城A退,2024-01-25
002171.XSHE,楚江新材,0.1,-0.15,2.12,1.01,10.53,65.18,2019-10-21,002171.XSHE,楚江新材,2024-01-25
002244.XSHE,滨江集团,0.08,0.46,0.73,3.05,27.03,103.25,2019-10-21,002244.XSHE,滨江集团,2024-01-25
002380.XSHE,科远智慧,0.08,0.05,5.8,1.94,1.43,20.94,2019-10-21,002380.XSHE,科远智慧,2024-01-25
002433.XSHE,ST太安,0.05,0.14,3.83,1.84,7.37,32.42,2019-10-21,002433.XSHE,ST太安,2024-01-25
002805.XSHE,丰元股份,0.02,-0.19,0.75,2.05,1.44,18.72,2019-10-21,002805.XSHE,丰元股份,2024-01-25
300036.XSHE,超图软件,0.2,0.01,1.86,1.57,3.72,64.22,2019-10-21,300036.XSHE,超图软件,2024-01-25
300041.XSHE,回天新材,0.1,0.23,2.01,1.1,3.06,31.85,2019-10-21,300041.XSHE,回天新材,2024-01-25
300139.XSHE,晓程科技,0.02,0.02,2.12,0.54,2.18,18.92,2019-10-21,300139.XSHE,晓程科技,2024-01-25
300446.XSHE,乐凯新材,0.16,0.1,0.06,2.17,1.78,26.69,2019-10-21,300446.XSHE,乐凯新材,2024-01-25
600017.XSHG,日照港,0.05,0.11,0.97,1.62,30.76,90.73,2019-10-22,600017.XSHG,日照港,2024-01-25
600050.XSHG,中国联通,0.04,1.07,2.58,1.15,211.97,1273.92,2019-10-22,600050.XSHG,中国联通,2024-01-25
600051.XSHG,宁波联合,-0.06,2.99,0.45,5.21,3.11,18.22,2019-10-22,600051.XSHG,宁波联合,2024-01-25
600202.XSHG,哈空调,0.02,-0.21,0.2,0.16,3.83,17.75,2019-10-22,600202.XSHG,哈空调,2024-01-25
600311.XSHG,*ST荣华,-0.02,-0.04,0.33,-0.39,6.66,24.16,2019-10-22,600311.XSHG,*ST荣华,2024-01-25
600366.XSHG,宁波韵升,-0.01,-0.02,0.15,2.95,9.89,63.5,2019-10-22,600366.XSHG,宁波韵升,2024-01-25
600529.XSHG,山东药玻,0.21,0.31,1.54,3.19,5.04,117.64,2019-10-22,600529.XSHG,山东药玻,2024-01-25
600550.XSHG,保变电气,0.0,-0.09,2.14,-2.94,15.35,50.64,2019-10-22,600550.XSHG,保变电气,2024-01-25
600720.XSHG,祁连山,0.71,1.27,1.73,5.1,7.76,73.42,2019-10-22,600720.XSHG,祁连山,2024-01-25
600866.XSHG,星湖科技,0.06,0.06,1.46,-0.68,6.45,30.2,2019-10-22,600866.XSHG,星湖科技,2024-01-25
600982.XSHG,宁波能源,0.04,0.11,1.28,0.69,7.47,22.71,2019-10-22,600982.XSHG,宁波能源,2024-01-25
600987.XSHG,航民股份,0.16,0.09,0.05,2.87,9.21,55.92,2019-10-22,600987.XSHG,航民股份,2024-01-25
600998.XSHG,九州通,0.15,0.15,4.32,3.21,16.73,238.8,2019-10-22,600998.XSHG,九州通,2024-01-25
601101.XSHG,昊华能源,0.13,0.53,2.77,2.22,12.0,65.28,2019-10-22,601101.XSHG,昊华能源,2024-01-25
601222.XSHG,林洋能源,0.15,0.1,2.69,1.76,17.49,83.25,2019-10-22,601222.XSHG,林洋能源,2024-01-25
601677.XSHG,明泰铝业,0.6,-0.41,6.27,3.88,5.75,61.31,2019-10-22,601677.XSHG,明泰铝业,2024-01-25
603031.XSHG,安孚科技,-0.0,0.36,1.9,2.51,1.12,16.35,2019-10-22,603031.XSHG,安孚科技,2024-01-25
603214.XSHG,爱婴室,0.24,0.21,4.57,3.95,0.55,21.5,2019-10-22,603214.XSHG,爱婴室,2024-01-25
603298.XSHG,杭叉集团,0.21,0.59,1.55,3.61,1.71,20.66,2019-10-22,603298.XSHG,杭叉集团,2024-01-25
603335.XSHG,迪生力,0.0,0.08,0.04,0.21,2.03,10.68,2019-10-22,603335.XSHG,迪生力,2024-01-25
603345.XSHG,安井食品,0.32,1.2,4.73,5.19,1.37,65.36,2019-10-22,603345.XSHG,安井食品,2024-01-25
603360.XSHG,百傲化学,0.65,0.36,1.44,2.36,0.78,24.82,2019-10-22,603360.XSHG,百傲化学,2024-01-25
603660.XSHG,苏州科达,0.02,-0.14,0.54,2.11,3.37,39.46,2019-10-22,603660.XSHG,苏州科达,2024-01-25
603722.XSHG,阿科力,0.15,0.33,2.84,2.05,0.41,9.61,2019-10-22,603722.XSHG,阿科力,2024-01-25
603970.XSHG,中农立华,0.05,-0.59,1.63,1.85,0.96,12.0,2019-10-22,603970.XSHG,中农立华,2024-01-25
000001.XSHE,平安银行,0.42,2.99,4.16,5.94,194.06,3025.36,2019-10-22,000001.XSHE,平安银行,2024-01-25
000008.XSHE,神州高铁,0.03,0.01,1.0,0.64,25.94,88.97,2019-10-22,000008.XSHE,神州高铁,2024-01-25
000059.XSHE,华锦股份,0.24,1.06,3.88,3.32,15.99,91.81,2019-10-22,000059.XSHE,华锦股份,2024-01-25
000155.XSHE,川能动力,-0.01,-0.36,2.61,-0.98,12.7,50.8,2019-10-22,000155.XSHE,川能动力,2024-01-25
000419.XSHE,通程控股,0.12,-0.23,0.77,2.01,5.43,23.14,2019-10-22,000419.XSHE,通程控股,2024-01-25
000555.XSHE,神州信息,0.06,0.16,2.36,1.77,9.35,117.39,2019-10-22,000555.XSHE,神州信息,2024-01-25
000676.XSHE,智度股份,0.08,0.12,2.77,1.16,6.54,39.03,2019-10-22,000676.XSHE,智度股份,2024-01-25
000753.XSHE,漳州发展,0.01,0.23,0.64,0.58,8.84,25.55,2019-10-22,000753.XSHE,漳州发展,2024-01-25
000812.XSHE,陕西金叶,0.04,0.13,0.25,0.4,6.7,22.25,2019-10-22,000812.XSHE,陕西金叶,2024-01-25
000818.XSHE,航锦科技,0.12,0.05,1.3,1.42,6.71,59.71,2019-10-22,000818.XSHE,航锦科技,2024-01-25
000902.XSHE,新洋丰,0.01,-0.12,0.37,3.32,11.73,120.81,2019-10-22,000902.XSHE,新洋丰,2024-01-25
002009.XSHE,天奇股份,0.03,-0.06,2.2,2.05,3.12,24.31,2019-10-22,002009.XSHE,天奇股份,2024-01-25
002021.XSHE,ST中捷,-0.03,0.03,0.73,-0.84,6.87,11.07,2019-10-22,002021.XSHE,ST中捷,2024-01-25
002023.XSHE,海特高新,0.0,0.07,2.49,0.82,6.59,78.52,2019-10-22,002023.XSHE,海特高新,2024-01-25
002025.XSHE,航天电器,0.26,-0.24,1.12,3.58,4.29,111.34,2019-10-22,002025.XSHE,航天电器,2024-01-25
002026.XSHE,山东威达,0.08,0.05,2.98,1.83,4.05,20.89,2019-10-22,002026.XSHE,山东威达,2024-01-25
002037.XSHE,保利联合,0.03,-0.32,2.63,2.69,3.27,23.05,2019-10-22,002037.XSHE,保利联合,2024-01-25
002065.XSHE,东华软件,0.12,-0.01,0.69,1.2,28.08,189.23,2019-10-22,002065.XSHE,东华软件,2024-01-25
002087.XSHE,新野纺织,0.06,-0.08,1.65,2.11,8.16,27.57,2019-10-22,002087.XSHE,新野纺织,2024-01-25
002150.XSHE,通润装备,0.13,0.24,0.96,1.38,3.55,18.96,2019-10-22,002150.XSHE,通润装备,2024-01-25
002164.XSHE,宁波东力,0.02,0.07,3.36,-3.47,4.36,17.36,2019-10-22,002164.XSHE,宁波东力,2024-01-25
002181.XSHE,粤传媒,0.03,-0.0,1.15,1.08,11.34,47.87,2019-10-22,002181.XSHE,粤传媒,2024-01-25
002186.XSHE,全聚德,0.07,0.24,1.75,1.61,3.06,32.81,2019-10-22,002186.XSHE,全聚德,2024-01-25
002216.XSHE,三全食品,0.03,0.17,0.31,1.3,5.65,54.62,2019-10-22,002216.XSHE,三全食品,2024-01-25
002225.XSHE,濮耐股份,0.07,0.13,0.88,0.73,6.86,29.5,2019-10-22,002225.XSHE,濮耐股份,2024-01-25
002233.XSHE,塔牌集团,0.3,0.39,3.13,3.01,11.62,111.79,2019-10-22,002233.XSHE,塔牌集团,2024-01-25
002234.XSHE,民和股份,1.27,1.26,2.87,3.61,2.06,62.71,2019-10-22,002234.XSHE,民和股份,2024-01-25
002264.XSHE,新华都,-0.12,-0.09,1.69,-0.73,6.79,32.82,2019-10-22,002264.XSHE,新华都,2024-01-25
002285.XSHE,世联行,0.0,0.2,0.29,0.98,20.1,76.17,2019-10-22,002285.XSHE,世联行,2024-01-25
002311.XSHE,海大集团,0.47,1.06,1.33,3.05,15.53,486.24,2019-10-22,002311.XSHE,海大集团,2024-01-25
002320.XSHE,海峡股份,-0.0,0.05,1.55,0.98,8.38,66.92,2019-10-22,002320.XSHE,海峡股份,2024-01-25
002326.XSHE,永太科技,0.2,0.13,1.02,1.48,6.66,56.06,2019-10-22,002326.XSHE,永太科技,2024-01-25
002327.XSHE,富安娜,0.1,0.18,0.27,2.56,5.24,34.36,2019-10-22,002327.XSHE,富安娜,2024-01-25
002381.XSHE,双箭股份,0.16,0.42,1.38,1.52,3.13,23.38,2019-10-22,002381.XSHE,双箭股份,2024-01-25
002385.XSHE,大北农,0.06,0.19,0.35,1.13,27.31,124.81,2019-10-22,002385.XSHE,大北农,2024-01-25
002398.XSHE,垒知集团,0.15,0.25,0.37,2.53,5.3,29.56,2019-10-22,002398.XSHE,垒知集团,2024-01-25
002401.XSHE,中远海科,0.08,-0.32,0.14,1.73,3.02,34.18,2019-10-22,002401.XSHE,中远海科,2024-01-25
002402.XSHE,和而泰,0.08,0.06,0.22,0.84,7.18,90.96,2019-10-22,002402.XSHE,和而泰,2024-01-25
002406.XSHE,远东传动,0.09,0.03,1.59,1.77,4.16,22.57,2019-10-22,002406.XSHE,远东传动,2024-01-25
002407.XSHE,多氟多,0.02,0.02,2.97,0.84,5.79,75.9,2019-10-22,002407.XSHE,多氟多,2024-01-25
002421.XSHE,达实智能,0.02,0.09,0.09,0.6,16.48,57.85,2019-10-22,002421.XSHE,达实智能,2024-01-25
002461.XSHE,珠江啤酒,0.11,0.18,2.0,0.73,13.6,90.46,2019-10-22,002461.XSHE,珠江啤酒,2024-01-25
002475.XSHE,立讯精密,0.26,0.36,0.46,1.87,53.44,1429.96,2019-10-22,002475.XSHE,立讯精密,2024-01-25
002494.XSHE,华斯股份,0.0,-0.2,3.24,0.65,2.95,14.34,2019-10-22,002494.XSHE,华斯股份,2024-01-25
002496.XSHE,辉丰股份,-0.08,0.04,0.62,0.24,9.69,28.38,2019-10-22,002496.XSHE,辉丰股份,2024-01-25
002515.XSHE,金字火腿,0.01,-0.03,0.18,0.31,8.21,41.63,2019-10-22,002515.XSHE,金字火腿,2024-01-25
002518.XSHE,科士达,0.18,0.53,0.86,2.26,5.59,46.04,2019-10-22,002518.XSHE,科士达,2024-01-25
002519.XSHE,银河电子,0.06,0.05,1.66,-0.29,8.27,31.84,2019-10-22,002519.XSHE,银河电子,2024-01-25
002541.XSHE,鸿路钢构,0.32,0.21,4.07,3.76,3.7,29.78,2019-10-22,002541.XSHE,鸿路钢构,2024-01-25
002552.XSHE,宝鼎科技,0.02,0.02,1.33,-0.26,2.0,38.79,2019-10-22,002552.XSHE,宝鼎科技,2024-01-25
002582.XSHE,好想你,0.01,0.05,4.32,1.23,2.77,23.64,2019-10-22,002582.XSHE,好想你,2024-01-25
002609.XSHE,捷顺科技,0.03,0.0,1.47,0.49,3.67,33.58,2019-10-22,002609.XSHE,捷顺科技,2024-01-25
002661.XSHE,克明食品,0.09,0.06,4.03,1.68,3.24,40.04,2019-10-22,002661.XSHE,克明食品,2024-01-25
002664.XSHE,信质集团,0.21,0.3,1.1,3.43,3.5,53.05,2019-10-22,002664.XSHE,信质集团,2024-01-25
002677.XSHE,浙江美大,0.19,0.38,0.16,0.8,3.13,40.31,2019-10-22,002677.XSHE,浙江美大,2024-01-25
002688.XSHE,金河生物,0.06,0.15,0.7,0.75,6.23,37.33,2019-10-22,002688.XSHE,金河生物,2024-01-25
002712.XSHE,思美传媒,0.02,0.1,3.25,1.66,3.76,25.45,2019-10-22,002712.XSHE,思美传媒,2024-01-25
002732.XSHE,燕塘乳业,0.28,0.44,2.03,2.86,1.56,33.01,2019-10-22,002732.XSHE,燕塘乳业,2024-01-25
