datetime,open,close,high,low,volume,money
2023-01-03,4.07,4.04,4.07,4.04,258824980.0,1047725002.0
2023-01-04,4.05,4.09,4.09,4.04,250584094.0,1022070423.0
2023-01-05,4.09,4.06,4.11,4.06,215025686.0,877204366.0
2023-01-06,4.06,4.07,4.08,4.04,179789081.0,731034157.0
2023-01-09,4.08,4.06,4.09,4.06,177620875.0,723302384.0
2023-01-10,4.07,4.04,4.07,4.04,186622075.0,755033290.0
2023-01-11,4.04,4.04,4.05,4.03,143808457.0,581583428.0
2023-01-12,4.04,4.04,4.05,4.03,116744712.0,471371597.0
2023-01-13,4.04,4.07,4.07,4.04,139658839.0,566908490.0
2023-01-16,4.07,4.07,4.09,4.06,238651336.0,972719257.0
2023-01-17,4.07,4.06,4.08,4.04,143691244.0,583427985.0
2023-01-18,4.06,4.07,4.08,4.06,137511113.0,559746084.0
2023-01-19,4.06,4.06,4.07,4.04,139722516.0,566876473.0
2023-01-20,4.06,4.06,4.07,4.05,151666225.0,615310375.0
2023-01-30,4.07,4.05,4.08,4.04,261198609.0,1060660579.0
2023-01-31,4.05,4.05,4.06,4.04,179842068.0,729242573.0
2023-02-01,4.05,4.04,4.06,4.04,184277001.0,745664750.0
2023-02-02,4.05,4.04,4.05,4.04,215338826.0,870185102.0
2023-02-03,4.04,4.04,4.04,4.03,210378750.0,848654204.0
2023-02-06,4.04,4.03,4.04,4.02,230407181.0,926939859.0
2023-02-07,4.03,4.03,4.04,4.02,168747227.0,680140869.0
2023-02-08,4.04,4.04,4.04,4.03,137993433.0,556550720.0
2023-02-09,4.03,4.04,4.04,4.03,139350085.0,562487646.0
2023-02-10,4.04,4.04,4.04,4.03,128130663.0,517287828.0
2023-02-13,4.04,4.03,4.04,4.03,202743332.0,817263325.0
2023-02-14,4.04,4.04,4.04,4.03,113444084.0,457865981.0
2023-02-15,4.04,4.03,4.04,4.02,217439201.0,875087611.0
2023-02-16,4.03,4.02,4.04,4.02,201859553.0,812550640.0
2023-02-17,4.02,4.02,4.04,4.02,190366373.0,766064990.0
2023-02-20,4.03,4.04,4.04,4.02,249344399.0,1004838515.0
2023-02-21,4.04,4.05,4.05,4.04,178914437.0,724398198.0
2023-02-22,4.05,4.04,4.05,4.04,99906377.0,404187271.0
2023-02-23,4.04,4.04,4.05,4.04,129542842.0,523722564.0
2023-02-24,4.04,4.03,4.04,4.03,148250725.0,597341180.0
2023-02-27,4.03,4.03,4.04,4.02,128069449.0,515168670.0
2023-02-28,4.03,4.04,4.04,4.02,168425383.0,677615166.0
2023-03-01,4.04,4.04,4.04,4.03,274464072.0,1107847947.0
2023-03-02,4.04,4.05,4.05,4.03,235432418.0,952727208.0
2023-03-03,4.05,4.09,4.1,4.05,343405418.0,1399659368.0
2023-03-06,4.1,4.08,4.11,4.07,342989873.0,1401037315.0
2023-03-07,4.08,4.12,4.2,4.07,721541449.0,2992988030.0
2023-03-08,4.1,4.13,4.14,4.08,267900811.0,1098665504.0
2023-03-09,4.13,4.11,4.17,4.11,256914154.0,1062348001.0
2023-03-10,4.09,4.07,4.11,4.07,236706938.0,968749011.0
2023-03-13,4.07,4.13,4.14,4.06,265549490.0,1092169163.0
2023-03-14,4.12,4.14,4.17,4.11,270955761.0,1122413927.0
2023-03-15,4.16,4.19,4.19,4.14,308699431.0,1288387303.0
2023-03-16,4.18,4.24,4.29,4.17,625954488.0,2655044111.0
2023-03-17,4.25,4.24,4.3,4.21,365365105.0,1553254966.0
2023-03-20,4.24,4.23,4.32,4.22,360875065.0,1541399770.0
2023-03-21,4.24,4.18,4.27,4.17,291464927.0,1222842097.0
2023-03-22,4.19,4.24,4.24,4.18,236369501.0,998009990.0
2023-03-23,4.23,4.24,4.25,4.2,202309947.0,855390079.0
2023-03-24,4.23,4.2,4.23,4.19,172584344.0,726293380.0
2023-03-27,4.19,4.19,4.2,4.14,226658432.0,944911324.0
2023-03-28,4.19,4.21,4.22,4.17,183140821.0,768256378.0
