datetime,open,close,high,low,volume,money
2023-01-03,45.2,45.74,45.85,44.69,62081769.0,2815200404.0
2023-01-04,45.89,47.08,47.18,45.89,89622213.0,4183124625.0
2023-01-05,47.73,47.47,48.02,47.05,75970301.0,3608715198.0
2023-01-06,48.02,48.26,48.34,47.59,80433159.0,3867148878.0
2023-01-09,48.51,49.39,49.43,48.22,90896341.0,4446813321.0
2023-01-10,49.38,47.74,49.39,47.67,86370499.0,4173814429.0
2023-01-11,48.02,49.19,49.48,47.97,99661478.0,4881812304.0
2023-01-12,49.38,49.39,49.59,48.93,61870603.0,3057087228.0
2023-01-13,49.67,50.79,50.79,49.53,92380607.0,4644412350.0
2023-01-16,50.95,50.54,51.89,49.95,126759505.0,6455990323.0
2023-01-17,50.41,49.96,50.52,49.48,72035404.0,3592536756.0
2023-01-18,49.96,50.01,50.32,49.63,43250045.0,2162689506.0
2023-01-19,49.87,50.26,50.32,49.62,52615076.0,2627239788.0
2023-01-20,50.55,50.55,50.68,49.96,51234795.0,2584605516.0
2023-01-30,51.99,49.94,52.0,49.94,88393857.0,4495653729.0
2023-01-31,50.22,49.46,50.72,49.33,63124240.0,3152658911.0
2023-02-01,50.01,49.82,50.21,48.91,58267692.0,2882194846.0
2023-02-02,50.06,49.31,50.06,48.9,65577299.0,3228009417.0
2023-02-03,48.99,48.12,49.04,47.44,95581334.0,4582149777.0
2023-02-06,47.34,46.72,47.4,46.3,94992267.0,4431728036.0
2023-02-07,47.05,47.25,47.38,46.76,45802186.0,2159384254.0
2023-02-08,47.3,47.05,47.72,46.94,35786131.0,1690893371.0
2023-02-09,47.05,47.85,48.07,46.95,58227063.0,2781766993.0
2023-02-10,47.99,47.83,48.07,47.55,31867608.0,1523061151.0
2023-02-13,47.72,47.78,47.83,46.85,47204952.0,2238401665.0
2023-02-14,47.83,48.41,48.41,47.7,38178688.0,1835463536.0
2023-02-15,48.35,47.42,48.4,47.26,47519742.0,2259845455.0
2023-02-16,47.62,47.73,48.56,47.54,59462343.0,2860716311.0
2023-02-17,47.73,47.34,48.34,47.26,43035245.0,2060475453.0
2023-02-20,47.39,48.46,48.5,47.3,68470332.0,3282290633.0
2023-02-21,48.37,48.52,48.63,47.98,43977430.0,2125602116.0
2023-02-22,48.02,47.71,48.47,47.65,45975644.0,2203189302.0
2023-02-23,47.54,47.52,48.22,47.35,39709527.0,1892251718.0
2023-02-24,47.43,46.76,47.55,46.68,46027370.0,2161452476.0
2023-02-27,46.57,46.37,46.95,46.36,48229965.0,2244410611.0
2023-02-28,46.58,46.76,46.84,46.09,39211012.0,1823303793.0
2023-03-01,46.59,48.5,48.51,46.58,74658690.0,3581072361.0
