datetime,open,close,high,low,volume,money
2023-01-03,2.99,2.98,2.99,2.97,139130401.0,413906538.0
2023-01-04,2.98,3.02,3.02,2.98,213012605.0,640825711.0
2023-01-05,3.02,3.02,3.04,3.02,125268114.0,379146671.0
2023-01-06,3.02,3.02,3.03,3.0,133551098.0,402754304.0
2023-01-09,3.02,3.01,3.03,3.01,88624223.0,267453283.0
2023-01-10,3.02,3.0,3.02,3.0,70617734.0,211969670.0
2023-01-11,3.0,3.01,3.02,3.0,83856618.0,252398091.0
2023-01-12,3.02,3.01,3.02,3.0,90400706.0,271935627.0
2023-01-13,3.02,3.04,3.04,3.01,129095790.0,392007104.0
2023-01-16,3.04,3.02,3.06,3.02,159729892.0,485319563.0
2023-01-17,3.02,3.03,3.03,3.02,102520373.0,310436879.0
2023-01-18,3.04,3.02,3.04,3.02,82715005.0,250814906.0
2023-01-19,3.03,3.03,3.03,3.02,64615047.0,195517211.0
2023-01-20,3.03,3.03,3.04,3.02,79748369.0,241712862.0
2023-01-30,3.05,3.04,3.06,3.02,159082771.0,484302796.0
2023-01-31,3.04,3.03,3.05,3.03,94024566.0,285709655.0
2023-02-01,3.03,3.03,3.04,3.02,115575801.0,349685066.0
2023-02-02,3.03,3.02,3.03,3.02,101769414.0,307753627.0
2023-02-03,3.02,3.02,3.03,3.02,107152651.0,323874423.0
2023-02-06,3.02,3.02,3.02,3.01,118347114.0,356937014.0
2023-02-07,3.02,3.01,3.02,3.01,69714876.0,210030183.0
2023-02-08,3.02,3.02,3.02,3.01,51371148.0,155065326.0
2023-02-09,3.02,3.02,3.02,3.02,54473999.0,164587913.0
2023-02-10,3.02,3.04,3.04,3.02,79292820.0,240295875.0
2023-02-13,3.04,3.02,3.04,3.02,84992933.0,257456049.0
2023-02-14,3.02,3.02,3.03,3.02,73949941.0,223563795.0
2023-02-15,3.02,3.02,3.02,3.02,38890639.0,117398550.0
2023-02-16,3.02,3.02,3.04,3.02,131212059.0,397946661.0
2023-02-17,3.03,3.03,3.04,3.02,84241841.0,255695435.0
2023-02-20,3.03,3.05,3.05,3.03,81799660.0,249036143.0
2023-02-21,3.05,3.05,3.05,3.04,64574980.0,196828002.0
2023-02-22,3.05,3.04,3.05,3.04,56178107.0,171242563.0
2023-02-23,3.05,3.04,3.05,3.03,104127537.0,317326191.0
2023-02-24,3.05,3.03,3.05,3.03,54542228.0,165786941.0
2023-02-27,3.03,3.02,3.03,3.02,61140748.0,185263775.0
2023-02-28,3.03,3.04,3.04,3.02,90607848.0,274898437.0
2023-03-01,3.04,3.05,3.05,3.03,78686393.0,239855792.0
2023-03-02,3.05,3.07,3.08,3.04,139131530.0,426732764.0
2023-03-03,3.08,3.12,3.13,3.07,200510727.0,621160021.0
2023-03-06,3.12,3.12,3.14,3.11,168928334.0,526818529.0
2023-03-07,3.12,3.15,3.21,3.11,350594988.0,1110272008.0
2023-03-08,3.13,3.14,3.17,3.11,198529148.0,620548521.0
2023-03-09,3.15,3.16,3.19,3.14,237748987.0,753664305.0
2023-03-10,3.14,3.11,3.17,3.11,140565413.0,439828402.0
2023-03-13,3.1,3.13,3.14,3.09,132309785.0,413339728.0
2023-03-14,3.12,3.14,3.15,3.11,155525395.0,486971332.0
2023-03-15,3.16,3.19,3.2,3.15,251656755.0,800677020.0
2023-03-16,3.19,3.29,3.35,3.19,616211539.0,2024098209.0
2023-03-17,3.31,3.28,3.32,3.24,447418190.0,1467270279.0
2023-03-20,3.27,3.31,3.37,3.27,437361268.0,1454729718.0
2023-03-21,3.3,3.23,3.33,3.21,322787002.0,1050289378.0
2023-03-22,3.23,3.24,3.27,3.21,235146255.0,762586280.0
2023-03-23,3.24,3.27,3.29,3.23,197534035.0,644100375.0
2023-03-24,3.28,3.2,3.28,3.2,261470245.0,842952081.0
2023-03-27,3.2,3.17,3.2,3.14,242497838.0,766936085.0
2023-03-28,3.18,3.19,3.19,3.15,161142429.0,510408109.0
