datetime,open,close,high,low,volume,money
2023-01-03,4.16,4.23,4.25,4.14,162683887.0,684555144.0
2023-01-04,4.25,4.23,4.27,4.16,127377633.0,536889489.0
2023-01-05,4.23,4.23,4.29,4.2,122242656.0,518030796.0
2023-01-06,4.22,4.23,4.29,4.2,113674487.0,481581767.0
2023-01-09,4.22,4.08,4.23,4.07,184500164.0,760955095.0
2023-01-10,4.12,4.08,4.13,4.05,101028245.0,413621663.0
2023-01-11,4.12,4.07,4.16,4.06,106291480.0,435775282.0
2023-01-12,4.07,4.08,4.1,4.03,84408603.0,343176788.0
2023-01-13,4.07,4.06,4.18,4.04,105702269.0,433313282.0
2023-01-16,4.07,4.02,4.08,3.98,141094217.0,569136588.0
2023-01-17,4.01,3.96,4.03,3.95,97126902.0,386103634.0
2023-01-18,3.96,3.97,4.03,3.95,69861600.0,278784978.0
2023-01-19,3.97,3.96,3.98,3.88,157549611.0,618119251.0
2023-01-20,3.96,4.07,4.11,3.95,144575956.0,585649227.0
2023-01-30,4.09,3.96,4.1,3.95,242175429.0,963790307.0
2023-01-31,3.88,3.87,3.92,3.78,412085637.0,1582773216.0
2023-02-01,3.85,3.85,3.87,3.8,211460626.0,810203327.0
2023-02-02,3.86,3.89,3.93,3.85,191294130.0,744061694.0
2023-02-03,3.89,3.85,3.9,3.82,108306791.0,416845759.0
2023-02-06,3.82,3.84,3.9,3.82,107429530.0,413878411.0
2023-02-07,3.85,3.87,3.88,3.81,124714052.0,479985213.0
2023-02-08,3.86,3.82,3.87,3.81,145295468.0,555799224.0
2023-02-09,3.82,3.83,3.83,3.8,101602141.0,387398873.0
2023-02-10,3.82,3.83,3.88,3.78,169195154.0,646901122.0
2023-02-13,3.85,3.86,3.95,3.84,253386511.0,984410185.0
2023-02-14,3.86,3.87,3.91,3.84,118124065.0,457212472.0
2023-02-15,3.88,3.82,3.88,3.81,136202889.0,521565450.0
2023-02-16,3.81,3.76,3.84,3.74,145227382.0,551334424.0
2023-02-17,3.75,3.75,3.79,3.74,88375373.0,332243967.0
2023-02-20,3.75,3.77,3.77,3.71,107585105.0,402200148.0
2023-02-21,3.76,3.83,3.83,3.74,131360073.0,498502026.0
2023-02-22,3.83,3.82,3.88,3.81,129046956.0,496171093.0
2023-02-23,3.81,3.78,3.82,3.77,95573547.0,361959795.0
2023-02-24,3.78,3.76,3.8,3.76,58716138.0,221457525.0
2023-02-27,3.75,3.76,3.79,3.74,64262520.0,241951711.0
2023-02-28,3.76,3.83,3.83,3.75,123026507.0,466247553.0
2023-03-01,3.82,3.83,3.83,3.8,91783991.0,350324340.0
2023-03-02,3.83,3.86,3.88,3.81,137944301.0,531553233.0
2023-03-03,3.86,3.92,3.93,3.86,183807087.0,716147855.0
2023-03-06,3.92,3.95,3.98,3.9,178862312.0,704664747.0
2023-03-07,3.96,3.91,3.98,3.9,177653267.0,701592789.0
2023-03-08,3.9,3.86,3.92,3.83,124658272.0,481091528.0
2023-03-09,3.87,3.85,3.89,3.84,70115086.0,270412859.0
2023-03-10,3.84,3.78,3.85,3.77,112661422.0,427235127.0
2023-03-13,3.76,3.81,3.83,3.76,80605090.0,306089148.0
2023-03-14,3.8,3.85,3.91,3.78,137200591.0,528646011.0
2023-03-15,3.88,3.92,3.92,3.81,135375774.0,524395506.0
2023-03-16,3.91,3.86,3.92,3.85,110154800.0,427487884.0
2023-03-17,3.87,3.85,3.91,3.82,125986039.0,486863265.0
2023-03-20,3.85,3.74,3.87,3.73,194155116.0,736760552.0
2023-03-21,3.75,3.74,3.77,3.71,107395721.0,401128532.0
2023-03-22,3.73,3.72,3.77,3.71,102159623.0,381179605.0
2023-03-23,3.72,3.71,3.72,3.66,108905984.0,401869911.0
2023-03-24,3.71,3.64,3.71,3.63,117541193.0,430442494.0
2023-03-27,3.63,3.6,3.63,3.58,99003908.0,356586269.0
2023-03-28,3.6,3.6,3.63,3.59,67835025.0,244880396.0
2023-03-29,3.61,3.6,3.67,3.59,101326687.0,367129065.0
2023-03-30,3.59,3.64,3.65,3.53,117347135.0,420839824.0
2023-03-31,3.64,3.7,3.72,3.63,128804948.0,475666631.0
2023-04-03,3.69,3.62,3.7,3.61,124361105.0,452322460.0
2023-04-04,3.6,3.6,3.63,3.58,80649022.0,290629039.0
2023-04-06,3.59,3.59,3.61,3.57,61825695.0,221758860.0
2023-04-07,3.59,3.65,3.65,3.58,73460572.0,266694129.0
2023-04-10,3.66,3.76,3.76,3.65,174793221.0,650188779.0
2023-04-11,3.75,3.76,3.78,3.72,95849616.0,359480005.0
2023-04-12,3.77,3.72,3.79,3.71,90155316.0,337113378.0
2023-04-13,3.72,3.74,3.78,3.71,86295253.0,323458030.0
2023-04-14,3.72,3.79,3.81,3.72,130648476.0,494617947.0
2023-04-17,3.85,3.83,3.88,3.81,193408222.0,743284341.0
2023-04-18,3.84,3.79,3.84,3.75,92265343.0,348732457.0
2023-04-19,3.78,3.78,3.84,3.77,90360858.0,343358905.0
2023-04-20,3.79,3.77,3.79,3.73,90360250.0,339457603.0
2023-04-21,3.77,3.77,3.85,3.75,137679350.0,523758968.0
2023-04-24,3.8,3.77,3.83,3.75,129365592.0,490345569.0
2023-04-25,3.79,3.81,3.85,3.77,153890850.0,587411480.0
2023-04-26,3.87,3.91,3.97,3.86,259661590.0,1017038650.0
2023-04-27,3.9,3.96,3.98,3.82,199425802.0,782701514.0
2023-04-28,3.79,3.76,3.81,3.66,331519321.0,1238619715.0
2023-05-04,3.75,3.92,3.94,3.74,271486660.0,1052626551.0
2023-05-05,3.92,3.91,3.96,3.89,128893785.0,505084364.0
2023-05-08,3.94,3.98,4.03,3.91,230721131.0,917490686.0
2023-05-09,3.99,3.93,4.01,3.92,174403827.0,692095357.0
2023-05-10,3.93,3.88,3.96,3.86,122516136.0,478854531.0
2023-05-11,3.88,3.95,4.02,3.86,132969204.0,525607962.0
2023-05-12,3.95,4.06,4.07,3.91,313818475.0,1268026205.0
2023-05-15,4.09,3.97,4.11,3.93,268092475.0,1074001393.0
2023-05-16,3.97,3.96,4.01,3.93,129896815.0,515883014.0
