datetime,open,close,high,low,volume,money
2023-01-03,2.98,3.04,3.05,2.97,33905063.0,102155387.0
2023-01-04,3.03,3.03,3.05,3.02,21949832.0,66551709.0
2023-01-05,3.04,3.01,3.05,3.01,15512760.0,46908727.0
2023-01-06,3.03,2.97,3.03,2.97,22793980.0,68091465.0
2023-01-09,2.98,2.96,3.0,2.95,22456990.0,66836410.0
2023-01-10,2.97,2.98,3.01,2.94,26511739.0,78918354.0
2023-01-11,2.99,2.93,2.99,2.93,25469700.0,75204930.0
2023-01-12,2.93,2.93,2.96,2.91,24715228.0,72360333.0
2023-01-13,2.94,2.99,3.0,2.92,44074740.0,131136399.0
2023-01-16,2.99,2.97,3.0,2.95,39961320.0,118737701.0
2023-01-17,2.97,2.94,2.98,2.93,28840350.0,85087369.0
2023-01-18,2.95,2.97,2.98,2.94,25472580.0,75464657.0
2023-01-19,2.96,2.97,2.97,2.94,25240783.0,74610592.0
2023-01-20,2.97,2.99,3.0,2.96,29365487.0,87662047.0
2023-01-30,3.02,3.01,3.04,3.01,35704030.0,107792875.0
2023-01-31,3.01,3.03,3.04,2.99,27352602.0,82638138.0
2023-02-01,3.03,3.07,3.07,3.02,32875690.0,100269038.0
2023-02-02,3.07,3.05,3.08,3.05,29561890.0,90552849.0
2023-02-03,3.05,3.07,3.08,3.04,34199720.0,104733939.0
2023-02-06,3.06,3.07,3.1,3.04,28591640.0,87814632.0
2023-02-07,3.07,3.1,3.1,3.06,32598073.0,100486293.0
2023-02-08,3.1,3.08,3.12,3.07,31230682.0,96503288.0
2023-02-09,3.08,3.11,3.12,3.06,28685372.0,88845255.0
2023-02-10,3.11,3.12,3.15,3.1,44034400.0,137632758.0
2023-02-13,3.11,3.11,3.13,3.09,31069651.0,96586763.0
2023-02-14,3.12,3.1,3.14,3.09,23468882.0,72916439.0
2023-02-15,3.1,3.12,3.12,3.08,26561412.0,82469606.0
2023-02-16,3.12,3.11,3.2,3.09,62171291.0,196084973.0
2023-02-17,3.1,3.08,3.12,3.07,38992500.0,120676568.0
2023-02-20,3.08,3.12,3.13,3.08,27433930.0,85208506.0
2023-02-21,3.12,3.14,3.16,3.12,34718140.0,109004338.0
2023-02-22,3.13,3.12,3.13,3.1,21603670.0,67355769.0
2023-02-23,3.13,3.1,3.13,3.08,32286259.0,100201579.0
2023-02-24,3.1,3.1,3.1,3.07,21386970.0,66041762.0
2023-02-27,3.09,3.07,3.11,3.06,25279160.0,77848056.0
2023-02-28,3.08,3.11,3.12,3.08,27418444.0,84935237.0
2023-03-01,3.11,3.18,3.2,3.09,61732566.0,194802941.0
2023-03-02,3.18,3.23,3.25,3.17,59637920.0,191598840.0
2023-03-03,3.23,3.24,3.26,3.21,41188420.0,133193157.0
2023-03-06,3.24,3.24,3.27,3.22,33121891.0,107446068.0
2023-03-07,3.23,3.18,3.26,3.17,42979347.0,138159189.0
2023-03-08,3.18,3.24,3.25,3.16,46594388.0,149912538.0
2023-03-09,3.24,3.23,3.25,3.2,31907775.0,102947715.0
2023-03-10,3.21,3.18,3.23,3.17,28931645.0,92670955.0
2023-03-13,3.17,3.24,3.26,3.15,41359035.0,132333554.0
2023-03-14,3.24,3.22,3.27,3.19,36315640.0,117395401.0
2023-03-15,3.23,3.23,3.25,3.2,28955692.0,93496443.0
2023-03-16,3.21,3.23,3.27,3.19,34939545.0,112750211.0
2023-03-17,3.23,3.28,3.3,3.23,44398792.0,145527247.0
2023-03-20,3.28,3.27,3.31,3.26,48049382.0,157998005.0
2023-03-21,3.28,3.34,3.36,3.25,70837162.0,234968973.0
2023-03-22,3.35,3.36,3.37,3.31,42547317.0,142082884.0
2023-03-23,3.35,3.35,3.36,3.31,38459706.0,128374639.0
2023-03-24,3.35,3.36,3.38,3.31,44212090.0,147955489.0
2023-03-27,3.35,3.38,3.4,3.32,50828570.0,170969544.0
2023-03-28,3.36,3.36,3.41,3.33,40017124.0,134741769.0
2023-03-29,3.35,3.36,3.39,3.3,52981476.0,177617779.0
2023-03-30,3.37,3.3,3.37,3.28,47335052.0,157048738.0
2023-03-31,3.31,3.37,3.37,3.28,46132478.0,153489504.0
2023-04-03,3.36,3.41,3.43,3.35,47965652.0,162823173.0
2023-04-04,3.41,3.4,3.51,3.39,56466175.0,194164944.0
2023-04-06,3.4,3.33,3.4,3.31,45496350.0,152189357.0
2023-04-07,3.32,3.37,3.39,3.31,43767008.0,146740665.0
2023-04-10,3.37,3.32,3.4,3.32,43609844.0,146346027.0
2023-04-11,3.32,3.43,3.45,3.32,62500665.0,212431381.0
2023-04-12,3.41,3.54,3.57,3.41,70624375.0,247065460.0
2023-04-13,3.53,3.52,3.59,3.5,66674383.0,236235093.0
2023-04-14,3.54,3.49,3.55,3.45,51322831.0,179063666.0
2023-04-17,3.5,3.43,3.51,3.42,44929650.0,154715636.0
2023-04-18,3.44,3.42,3.45,3.38,40922443.0,139492001.0
2023-04-19,3.42,3.47,3.52,3.41,51692910.0,179709474.0
2023-04-20,3.46,3.51,3.53,3.44,40843780.0,142274546.0
2023-04-21,3.51,3.39,3.52,3.39,45446210.0,156743761.0
2023-04-24,3.42,3.73,3.73,3.41,197916116.0,723019659.0
2023-04-25,3.68,3.57,3.71,3.51,192390204.0,692121785.0
2023-04-26,3.55,3.56,3.63,3.45,130079754.0,459471260.0
2023-04-27,3.52,3.47,3.62,3.45,129196316.0,453667638.0
2023-04-28,3.48,3.63,3.64,3.46,124600149.0,445796340.0
2023-05-04,3.6,3.86,3.88,3.59,185244918.0,699512138.0
2023-05-05,3.87,3.99,4.08,3.8,233156189.0,920685769.0
2023-05-08,4.0,3.97,4.04,3.83,161865637.0,638798861.0
2023-05-09,3.95,4.03,4.37,3.95,256797977.0,1065047215.0
2023-05-10,3.99,4.04,4.22,3.96,210842191.0,859751965.0
2023-05-11,3.99,3.98,4.1,3.89,181084134.0,723950829.0
2023-05-12,3.96,3.89,4.07,3.88,117388475.0,463447140.0
2023-05-15,3.87,3.8,3.89,3.68,128822061.0,485156927.0
2023-05-16,3.79,3.64,3.8,3.62,88816558.0,328665027.0
