datetime,open,close,high,low,volume,money
2023-01-03,4.25,4.27,4.28,4.22,88126029.0,374524391.0
2023-01-04,4.26,4.28,4.3,4.24,87529637.0,373568797.0
2023-01-05,4.27,4.26,4.3,4.25,89085358.0,379844529.0
2023-01-06,4.26,4.25,4.27,4.21,110527332.0,467445056.0
2023-01-09,4.25,4.25,4.27,4.24,66288204.0,281711095.0
2023-01-10,4.25,4.24,4.26,4.23,55688748.0,236308571.0
2023-01-11,4.24,4.28,4.3,4.23,100388746.0,428350943.0
2023-01-12,4.3,4.31,4.32,4.27,65898859.0,283079177.0
2023-01-13,4.32,4.32,4.35,4.29,84264816.0,363295710.0
2023-01-16,4.32,4.34,4.36,4.29,109000949.0,471108487.0
2023-01-17,4.34,4.32,4.35,4.28,113853160.0,489473072.0
2023-01-18,4.32,4.34,4.35,4.31,74100976.0,320719584.0
2023-01-19,4.33,4.36,4.36,4.32,76030677.0,330286445.0
2023-01-20,4.37,4.4,4.45,4.36,116129325.0,511018516.0
2023-01-30,4.43,4.38,4.45,4.37,139964578.0,617364733.0
2023-01-31,4.39,4.38,4.41,4.37,86750027.0,381523201.0
2023-02-01,4.39,4.38,4.4,4.36,113601134.0,497561781.0
2023-02-02,4.38,4.38,4.41,4.35,108928177.0,476941754.0
2023-02-03,4.37,4.34,4.38,4.34,87833449.0,382252108.0
2023-02-06,4.33,4.36,4.36,4.32,68146313.0,296044014.0
2023-02-07,4.36,4.36,4.38,4.35,60672229.0,265097735.0
2023-02-08,4.38,4.37,4.41,4.36,70269879.0,308255013.0
2023-02-09,4.37,4.37,4.38,4.36,54782846.0,239378252.0
2023-02-10,4.36,4.36,4.37,4.35,65750384.0,286780129.0
2023-02-13,4.36,4.36,4.37,4.34,85695334.0,373385591.0
2023-02-14,4.36,4.37,4.38,4.36,67126595.0,293325314.0
2023-02-15,4.37,4.37,4.38,4.36,60954588.0,266271743.0
2023-02-16,4.38,4.37,4.44,4.36,140536871.0,619243622.0
2023-02-17,4.37,4.38,4.41,4.37,76253674.0,335240777.0
2023-02-20,4.39,4.48,4.49,4.39,156928613.0,697751616.0
2023-02-21,4.49,4.55,4.58,4.48,163045481.0,738484849.0
2023-02-22,4.54,4.51,4.56,4.51,90457149.0,410354326.0
2023-02-23,4.53,4.51,4.54,4.49,100414884.0,453064681.0
2023-02-24,4.52,4.49,4.53,4.47,78349451.0,352110725.0
2023-02-27,4.48,4.47,4.51,4.46,74616277.0,334846057.0
2023-02-28,4.47,4.52,4.54,4.47,115484507.0,521041378.0
2023-03-01,4.52,4.61,4.62,4.52,166313281.0,763094733.0
