datetime,open,close,high,low,volume,money
2023-01-03,2.73,2.72,2.73,2.71,318100225.0,865794642.0
2023-01-04,2.72,2.75,2.76,2.71,422949938.0,1160297953.0
2023-01-05,2.76,2.75,2.77,2.74,316450224.0,871739563.0
2023-01-06,2.75,2.74,2.76,2.73,385598352.0,1056426678.0
2023-01-09,2.75,2.74,2.75,2.73,239750273.0,657844201.0
2023-01-10,2.74,2.73,2.74,2.72,280514939.0,765535627.0
2023-01-11,2.73,2.73,2.74,2.72,210984009.0,577413644.0
2023-01-12,2.73,2.74,2.74,2.72,304891746.0,834309536.0
2023-01-13,2.74,2.76,2.76,2.73,328278971.0,904597202.0
2023-01-16,2.76,2.73,2.77,2.73,597463825.0,1641445615.0
2023-01-17,2.73,2.73,2.74,2.72,237903143.0,650261778.0
2023-01-18,2.74,2.74,2.75,2.73,237307511.0,651005844.0
2023-01-19,2.74,2.74,2.75,2.73,207609367.0,568826257.0
2023-01-20,2.74,2.74,2.74,2.73,326314441.0,893420491.0
2023-01-30,2.75,2.74,2.76,2.73,402405208.0,1104270710.0
2023-01-31,2.74,2.73,2.75,2.73,246681222.0,675999716.0
2023-02-01,2.73,2.74,2.74,2.72,277523074.0,759218438.0
2023-02-02,2.74,2.74,2.75,2.73,291715163.0,799695519.0
2023-02-03,2.74,2.73,2.75,2.73,276681171.0,757665566.0
2023-02-06,2.73,2.74,2.74,2.72,205971818.0,563298376.0
2023-02-07,2.74,2.74,2.74,2.73,119134072.0,326171670.0
2023-02-08,2.74,2.74,2.75,2.73,242299652.0,664816985.0
2023-02-09,2.75,2.75,2.75,2.74,150869375.0,414671950.0
2023-02-10,2.75,2.75,2.75,2.74,138928631.0,381696608.0
2023-02-13,2.74,2.74,2.75,2.73,306917144.0,840725082.0
2023-02-14,2.74,2.73,2.74,2.73,124611863.0,341099022.0
2023-02-15,2.74,2.73,2.74,2.73,206717167.0,565761918.0
2023-02-16,2.73,2.73,2.74,2.73,192485035.0,526940816.0
2023-02-17,2.73,2.74,2.75,2.73,379451689.0,1040774951.0
2023-02-20,2.74,2.76,2.76,2.74,360975308.0,993787516.0
2023-02-21,2.76,2.76,2.76,2.75,253753250.0,700090187.0
2023-02-22,2.76,2.75,2.76,2.75,167278440.0,461138737.0
2023-02-23,2.76,2.75,2.77,2.75,303027621.0,836739868.0
2023-02-24,2.75,2.74,2.76,2.74,280588946.0,771959882.0
2023-02-27,2.75,2.74,2.75,2.73,251457722.0,689974487.0
2023-02-28,2.75,2.75,2.75,2.73,197713914.0,543098945.0
2023-03-01,2.75,2.75,2.76,2.74,360529708.0,991818946.0
2023-03-02,2.75,2.75,2.76,2.74,237078089.0,653172788.0
2023-03-03,2.76,2.79,2.79,2.75,621519275.0,1721726935.0
2023-03-06,2.8,2.78,2.81,2.78,489487988.0,1367879111.0
2023-03-07,2.79,2.83,2.86,2.78,910935785.0,2584704025.0
2023-03-08,2.83,2.84,2.84,2.8,358882358.0,1010284084.0
2023-03-09,2.83,2.83,2.86,2.83,435605009.0,1239268101.0
