datetime,open,close,high,low,volume,money
2023-01-03,5.28,5.29,5.29,5.22,67997648.0,357774931.0
2023-01-04,5.29,5.33,5.34,5.28,79201664.0,421788927.0
2023-01-05,5.35,5.33,5.35,5.3,50607595.0,269497691.0
2023-01-06,5.32,5.32,5.34,5.29,56474085.0,299989173.0
2023-01-09,5.31,5.29,5.32,5.28,50146010.0,265539985.0
2023-01-10,5.3,5.26,5.3,5.25,34447617.0,181423010.0
2023-01-11,5.26,5.3,5.3,5.25,38928426.0,205423277.0
2023-01-12,5.3,5.27,5.3,5.25,45723093.0,240513620.0
2023-01-13,5.26,5.3,5.3,5.25,37926923.0,200549962.0
2023-01-16,5.3,5.28,5.32,5.27,62593526.0,331312426.0
2023-01-17,5.29,5.26,5.29,5.25,50571455.0,266088435.0
2023-01-18,5.27,5.27,5.29,5.26,37132330.0,195892205.0
2023-01-19,5.28,5.28,5.29,5.25,37960337.0,199894920.0
2023-01-20,5.29,5.29,5.3,5.27,32915704.0,173864586.0
2023-01-30,5.31,5.29,5.32,5.28,54102266.0,286525713.0
2023-01-31,5.3,5.27,5.3,5.27,48771234.0,257564573.0
2023-02-01,5.27,5.28,5.29,5.25,53054823.0,279299372.0
2023-02-02,5.28,5.27,5.29,5.25,49167347.0,258787996.0
2023-02-03,5.26,5.26,5.27,5.24,61896254.0,325173173.0
2023-02-06,5.26,5.25,5.26,5.23,50124640.0,262932891.0
2023-02-07,5.26,5.25,5.27,5.24,24540458.0,128935140.0
2023-02-08,5.26,5.25,5.27,5.24,25335253.0,133008557.0
2023-02-09,5.25,5.27,5.27,5.24,31183996.0,163936539.0
2023-02-10,5.27,5.27,5.27,5.24,35683417.0,187585965.0
2023-02-13,5.26,5.25,5.27,5.23,47907475.0,251166542.0
2023-02-14,5.25,5.26,5.26,5.24,28669711.0,150517969.0
2023-02-15,5.26,5.23,5.26,5.23,49901852.0,261442918.0
2023-02-16,5.24,5.23,5.25,5.22,51262544.0,268428843.0
2023-02-17,5.23,5.22,5.25,5.22,56996383.0,298027643.0
2023-02-20,5.22,5.28,5.28,5.22,55557229.0,291993756.0
2023-02-21,5.28,5.3,5.3,5.26,61191400.0,323433325.0
2023-02-22,5.3,5.28,5.3,5.28,33980321.0,179640285.0
2023-02-23,5.29,5.27,5.3,5.27,28850343.0,152418636.0
2023-02-24,5.28,5.26,5.29,5.26,37369951.0,196894432.0
2023-02-27,5.26,5.25,5.27,5.25,31536565.0,165841917.0
2023-02-28,5.26,5.3,5.3,5.25,37273580.0,196505114.0
2023-03-01,5.3,5.3,5.31,5.28,60934367.0,322756896.0
2023-03-02,5.29,5.32,5.33,5.28,63314808.0,336612022.0
2023-03-03,5.33,5.47,5.49,5.32,177624697.0,961111831.0
2023-03-06,5.48,5.45,5.56,5.45,139756759.0,766636204.0
2023-03-07,5.45,5.5,5.72,5.45,318244077.0,1780471204.0
2023-03-08,5.5,5.5,5.54,5.44,127748836.0,698707579.0
2023-03-09,5.5,5.47,5.54,5.46,100162558.0,550993139.0
2023-03-10,5.45,5.41,5.45,5.41,93154328.0,505537899.0
2023-03-13,5.39,5.47,5.48,5.38,78208697.0,425579746.0
2023-03-14,5.45,5.47,5.52,5.44,74234871.0,406251235.0
2023-03-15,5.51,5.59,5.6,5.46,105518860.0,585130720.0
2023-03-16,5.55,5.62,5.68,5.55,168538800.0,951289317.0
2023-03-17,5.65,5.65,5.7,5.6,144239725.0,814731010.0
2023-03-20,5.65,5.65,5.73,5.64,144092618.0,818484068.0
2023-03-21,5.65,5.58,5.69,5.55,104661758.0,585434771.0
2023-03-22,5.58,5.66,5.67,5.57,93026785.0,524400275.0
2023-03-23,5.64,5.69,5.72,5.63,90724699.0,515762937.0
2023-03-24,5.69,5.62,5.69,5.61,69836151.0,393521740.0
2023-03-27,5.61,5.58,5.64,5.52,96585467.0,536630145.0
2023-03-28,5.58,5.59,5.63,5.55,59064970.0,330653383.0
2023-03-29,5.61,5.58,5.63,5.58,61673479.0,345423431.0
2023-03-30,5.6,5.6,5.68,5.56,94228093.0,528193415.0
2023-03-31,5.61,5.58,5.64,5.55,86326391.0,483480541.0
2023-04-03,5.57,5.59,5.61,5.55,72021610.0,401840025.0
2023-04-04,5.59,5.68,5.68,5.58,113646474.0,642696036.0
2023-04-06,5.67,5.67,5.71,5.65,62528612.0,355272995.0
2023-04-07,5.67,5.69,5.69,5.65,47607218.0,270250921.0
2023-04-10,5.69,5.68,5.7,5.63,61180750.0,346940839.0
2023-04-11,5.7,5.7,5.71,5.66,56789093.0,323145327.0
2023-04-12,5.7,5.78,5.79,5.69,141588822.0,815954680.0
2023-04-13,5.76,5.82,5.86,5.75,127978759.0,743649419.0
2023-04-14,5.8,5.81,5.84,5.76,85279669.0,494304148.0
2023-04-17,5.81,5.91,5.93,5.79,124735505.0,733412702.0
2023-04-18,5.91,5.94,6.0,5.9,112161058.0,666633399.0
2023-04-19,5.94,5.94,6.01,5.91,117067537.0,697277337.0
2023-04-20,5.94,5.92,5.96,5.87,109841728.0,648866706.0
2023-04-21,5.92,5.88,5.97,5.86,117933093.0,698287101.0
2023-04-24,5.88,5.9,5.93,5.86,135889665.0,802312623.0
2023-04-25,5.9,5.99,6.04,5.89,213133892.0,1273275598.0
2023-04-26,5.98,5.96,6.01,5.82,163738816.0,967889535.0
2023-04-27,5.94,5.93,5.97,5.88,179886673.0,1066547838.0
2023-04-28,5.93,5.92,5.97,5.87,121446938.0,718337418.0
2023-05-04,5.89,6.15,6.19,5.85,336742866.0,2046553081.0
2023-05-05,6.17,6.27,6.37,6.16,278487130.0,1744346411.0
2023-05-08,6.3,6.6,6.82,6.28,537282226.0,3528247748.0
2023-05-09,6.75,6.56,6.83,6.51,391174407.0,2601258199.0
2023-05-10,6.56,6.22,6.57,6.17,292610108.0,1838980247.0
2023-05-11,6.23,6.14,6.28,6.12,161207293.0,996186278.0
2023-05-12,6.11,6.11,6.2,6.0,156864844.0,957159736.0
2023-05-15,6.08,6.22,6.23,5.96,203404416.0,1237666989.0
2023-05-16,6.22,6.24,6.47,6.2,161053408.0,1018661103.0
